ID,Código de Barras,Nombre,Precio Venta ($),Precio Compra ($),Categoría
975,,Gel Rolda,2.54,2.09,Gelatina De Cabello
827,,Agua Cool 1.5L x6 bulto,4.20,3.70,Refresco Por Caja
825,,Agua Cool 400ml x 15 bulto,4.20,3.70,Refresco Por Caja
826,,Agua Cool 600 ml x12 bulto,4.20,3.70,Refresco Por Caja
814,,BIg Cola bulto,5.15,4.80,Refresco Por Caja
919,,Caja Pepsi 350 ml retornable caja,12.00,11.35,Refresco Por Caja
874,,Chinotto 2 L bulto,6.35,5.85,Refresco Por Caja
803,,Coca Coca 2 L,8.30,7.75,Refresco Por Caja
805,,Coca Cola 1 L bulto,5.20,4.75,Refresco Por Caja
806,,Coca Cola 1.25 L retorable caja,4.75,4.20,Refresco Por Caja
804,,Coca Cola 1.5 L bulto,7.30,6.80,Refresco Por Caja
809,,Fanta 1 L bulto,4.10,3.80,Refresco Por Caja
808,,Fanta 1.5 L bulto,5.20,4.80,Refresco Por Caja
807,,Fanta 2 L bulto,6.35,5.85,Refresco Por Caja
815,,First 2 L bulto,5.15,4.80,Refresco Por Caja
920,,Frescolita 2 L bulto,6.35,5.85,Refresco Por Caja
823,,Gatorade bulto,19.50,18.50,Refresco Por Caja
810,,Golde 2 L bulto,6.35,5.85,Refresco Por Caja
811,,Golden 1.5 L bulto,5.20,4.80,Refresco Por Caja
833,,Golden 2 L bulto,6.35,5.70,Refresco Por Caja
812,,Golden1 L bulto,4.10,3.80,Refresco Por Caja
819,,Jugo El Valle 1.5 L bulto,5.50,5.30,Refresco Por Caja
820,,Jugo El Valle 500 ml bulto,7.75,7.22,Refresco Por Caja
817,,Jugo Justy 1.5 L bulto,12.60,10.80,Refresco Por Caja
818,,Jugo Justy 400 ml bulto,7.00,5.80,Refresco Por Caja
816,,Jugosa 1 L bulto,22.00,21.00,Refresco Por Caja
828,,Leche liquida Natulac 1 L bulto,29.50,27.00,Refresco Por Caja
821,,Malta 1.5 L bulto,11.00,9.80,Refresco Por Caja
822,,Malta 250 ml retorable caja,16.80,15.80,Refresco Por Caja
813,,Mini Sun bulto,4.90,4.40,Refresco Por Caja
824,,Power Max caja,6.00,5.30,Refresco Por Caja
831,,Sun 2 L bulto,5.00,4.70,Refresco Por Caja
972,,Vainilla el aguila 230 ml,1.06,0.77,Vainilla
946,,Aceite Agroil 700 ml,2.35,2.20,Aceites
923,,Aceite Agroil 800 ml,2.45,2.11,Aceites
964,,Aceite Amanecer 500 ml,1.89,1.66,Aceites
908,,Aceite Aurora 500 ml,1.93,1.67,Aceites
892,,aceite Vatel 800 ml,2.54,2.29,Aceites
954,,aceite Vatel pequeño,1.66,1.50,Aceites
655,,aceite vatel 1 litro,3.89,3.17,Aceites
830,,Agua cool 1.5 L,0.93,0.66,Agua Potable
829,,Agua cool 400 ml,0.44,0.26,Agua Potable
955,,Agua potable bidon,1.00,0.57,Agua Potable
359,,agua cool 600 ml,0.55,0.33,Agua Potable
376,,agua saborizada nevada  335 ml,0.80,0.82,Agua Potable
305,,ajo chino,8.98,5.00,Ajo
856,,ajo criollo,8.98,10.00,Ajo
948,,Ringo Adulto,2.73,1.94,Animales
164,,gatarina,5.10,3.79,Animales
220,,maiz,0.79,0.64,Animales
189,,multiproposito,0.60,0.52,Animales
916,,Fabuloso,0.90,0.64,Aromatizantes
763,,aromatizante Roberti 1 L,1.80,1.43,Aromatizantes
103,,aromax,0.57,0.29,Aromatizantes
965,,Arroz Amanecer marfil,1.07,0.97,Arroz
853,,Arroz Kaly,0.95,0.90,Arroz
25,,arroz Mary tradicional,0.85,0.75,Arroz
952,,arroz Mimasa,0.90,0.80,Arroz
243,,arroz doña emilia,0.79,0.68,Arroz
524,,arroz la lucha,1.04,0.88,Arroz
944,,Azucar Cominka 500 gr,0.79,0.58,Azucar
276,,azucar amanecer,1.60,1.47,Azucar
728,,azucar cominka,1.50,1.35,Azucar
51,,azucar pastora 1kg,1.55,1.24,Azucar
674,,papelon,1.22,0.97,Azucar
324,,cerelac 400 gr,6.39,5.86,Bebidas Instantaneas
436,,gelatina sonrisa 66 gr,1.91,1.60,Bebidas Instantaneas
302,,toddy 100 gr,1.62,1.23,Bebidas Instantaneas
711,,toddy 200 gr pote,3.22,2.80,Bebidas Instantaneas
746,,toddy bolsa 400 g,6.70,6.18,Bebidas Instantaneas
794,,Cafe Aurora 100 gr,1.32,1.12,Cafe
795,,Cafe Aurora 200 gr,2.50,2.06,Cafe
50,,Dellanona 100 gr,1.58,1.40,Cafe
49,,amanecer 100g,1.58,1.35,Cafe
48,,amanecer 200g,2.85,2.49,Cafe
223,,arauca 50gr,0.80,0.63,Cafe
364,,cafe arauca 100 gr,1.41,1.26,Cafe
195,,favorito 100gr,1.32,1.09,Cafe
47,,favorito 50gr,0.73,0.55,Cafe
46,,flor de arauca,2.80,2.54,Cafe
44,,protectora 100g,1.40,1.19,Cafe
357,,protectora 200 gr,2.63,2.34,Cafe
356,,protectora 50 gr,0.74,0.59,Cafe
970,,Chao Linea,0.15,0.09,Caramelos Y Chupetas
87,,caramelo bianchi,0.04,0.02,Caramelos Y Chupetas
84,,caramelo cafe gurme,0.09,0.04,Caramelos Y Chupetas
89,,caramelo chao,0.04,0.01,Caramelos Y Chupetas
395,,caramelo chao xtreme,0.04,0.01,Caramelos Y Chupetas
633,,caramelo menta helada,0.07,0.03,Caramelos Y Chupetas
249,,caramelo ricato,0.06,0.04,Caramelos Y Chupetas
278,,chicle agogo,0.22,0.15,Caramelos Y Chupetas
83,,chupeta,0.17,0.07,Caramelos Y Chupetas
82,,freegells tubo menta,0.45,0.23,Caramelos Y Chupetas
651,,halls barra,0.68,0.44,Caramelos Y Chupetas
597,,mentos carmelo,0.57,0.44,Caramelos Y Chupetas
334,,trululu 90 gr,0.72,0.52,Caramelos Y Chupetas
33,,bistec,11.50,10.00,Carnes
731,,carne molida,11.00,7.50,Carnes
732,,carne para mechar,11.00,9.00,Carnes
289,,chuleta ahumada,8.50,7.50,Carnes
778,,pechuga de pollo,5.00,3.50,Carnes
265,,pollo entero,3.29,2.90,Carnes
264,,pollo picado,3.85,2.90,Carnes
956,,Avena Don Jorje,1.20,0.90,Cereales
518,,avena de vita 400 gr,1.20,1.00,Cereales
266,,avena detallada 250 gr,0.70,0.50,Cereales
237,,crema de arroz mary,1.15,0.92,Cereales
880,,crema de leche di fiore 170 gr,1.77,1.33,Cereales
881,,fororo valle hondo 250 gr,0.73,0.56,Cereales
39,,fororo valle hondo 400 gr,1.00,0.75,Cereales
38,,maizena 120g,1.15,0.76,Cereales
712,,maizena 200 g,1.66,1.41,Cereales
37,,maizena 90g,0.96,0.75,Cereales
632,,maizoritos azucarados,3.13,2.75,Cereales
40,,maizoritos blanco,3.04,2.65,Cereales
